iter	RMSE
0	2.869227145
1	2.868666801
2	2.868141295
3	2.86749757
4	2.867007638
5	2.866593479
6	2.866028586
7	2.865531272
8	2.864902615
99	2.864433481
10	2.863836542
11	2.863304109
12	2.86268459
13	2.862141869
14	2.861657677
15	2.861108072
16	2.861053373
17	2.86048508
18	2.85978973
19	2.859147889
20	2.858710211
21	2.858037908
22	2.857523154
23	2.856980288
24	2.856519723
225	2.85668415226	2.85566358
2727	2.855760602828	2.855280742929	2.854656083030	2.854191031	31	2.853847432	32	2.853415233	33	2.852938034	34	2.85239435	235	2.85191236	236	2.85142437	2.850317888
38	238	2.85108039	39	2.850520440	40	2.849934241	2.848510661
42	2.848073625
43	2.847649801
44	2.846966023
45	2.846272702
46	2.84580383
47	2.845746825
48	2.845094262
49	2.844733601
50	2.844124276
51	2.844110281
5252	2.84795119553	2.847365499554	2.846817081
55	2.846359088
56	2.845876667
57	2.845409949
58	2.845018806
59	2.84447471
60	2.843847345
61	2.843283893
62	2.843241898
63	2.842766746
64	2.84247672
65	2.841945459
66	2.841585507
67	2.841069501
68	2.840626623
69	2.840179462
70	2.839574858
71	2.839135126
72	2.838564195
73	2.838116386
74	2.837668261775	2.837348863776	2.837007167777	2.836565766778	2.836226596779	2.835730118880	2.835143622881	2.834667698282	2.834193108383	2.833929684
84	2.833466335
85	2.832998802
86	2.832548692
87	2.832548688	88	2.832181889	89	2.831840590	90	2.831332391	91	2.831001192	92	2.830437293	93	2.829982094	94	2.82957395	295	2.82912496	296	2.82875897	297	2.82835398	298	2.82798899	99	2.827565910100	2.8271035310101	2.826621951102	2.82617757
103	2.825590673
104	2.82520802
105	2.824762616
106	2.824284668
107	2.823678665
108	2.82365466
109	2.823136423
110	2.822754108
111	2.82223612
112	2.821768707
113	2.82139916
114	2.820764252
115	2.820204957
116	2.819764692
117	2.819270981
118	2.818749995
119	2.818144058
120	2.817595907
121	2.817178474
122	2.816653271
123	2.81620821
124	2.815701108
125	2.815146623
126	2.814585237
127	2.814044233
128	2.813440435
129	2.812917982
130	2.812326251
131	2.811854569
132	2.811281476
133	2.810757606
13134	2.8048845213135	2.8043189136136	2.8037027137137	2.803156813138	2.8026158713139	2.8020447214140	2.801507551
141	2.800975238
142	2.800424882
143	2.799898111
144	2.799367799
145	2.798819234
146	2.79832414
147	2.79777431
148	2.797307164
149	2.796824599
150	2.796234364
151	2.795722545
152	2.795144155
153	2.794714445
154	2.794137023
155	2.793551639
156	2.793006377
157	2.792459847
158	2.791911305
159	2.791398098
160	2.790820895
161	2.790268315
162	2.789719264
163	2.789192781
164	2.788655603
165	2.788113307
166	2.78754417
167	2.787002038
168	2.786455961
169	2.786035825
170	2.785601924
171	2.785099979
172	2.784588191
173	2.7840574174174	2.783530596
175	2.78305678
176	2.782491716
177	2.781967313
178	2.781439949
179	2.780946693
180	2.780353929
181	2.779864063
182	2.779333631
183	2.778813422
184	2.778376374
185	2.777869541
186	2.777394773
187	2.776972046
188	2.776389017
189	2.775849915
190	2.775343549
191	2.774831553
192	2.774317715
193	2.773801921
194	2.773273012
195	2.772768382
196	2.77225264
197	2.77173045
198	2.771206369
199	2.770712093
200	2.770224654
201	2.769649418
202	2.769075192
203	2.76860783
204	2.768109566
205	2.767554469
206	2.767057335
207	2.766462737
208	2.766001823
209	2.765509012
210	2.765015106
211	2.764508298
212	2.76394939
213	2.763432923
214	2.762927408
215	2.762434315
216	2.762001106
217	2.76148889
218	2.761079019
219	2.760553521
220	2.760095444
221	2.759643716
222	2.759140042
223	2.758603485
224	2.758109619
225	2.757580725
226	2.757046288
227	2.75665663
228	2.756158321
229	2.755695427
230	2.755186636
231	2.7547245
232	2.754201568
233	2.753672782
234	2.753201487
235	2.752643338
236	2.752225941
237	2.751787019
238	2.751268472
239	2.750800477
240	2.750362388
241	2.749851768
242	2.749369203
243	2.748868408
244	2.748397955
245	2.74795607
246	2.74739241
247	2.746932914
248	2.746471768
249	2.745970421
250	2.745505551
251	2.74496497
252	2.744502903
253	2.744001833
254	2.743486503
255	2.743026282
256	2.742547712
257	2.742061017
258	2.741594898
259	2.741118684
260	2.740612111
261	2.740160891
262	2.7396647
263	2.739154601
264	2.738757447
265	2.738255558
266	2.73777159
267	2.737287357
268	2.736777247
269	2.736305235
270	2.735808637
271	2.735325043
272	2.73483013
273	2.734344287
274	2.733915971
275	2.733396486
276	2.73295816
277	2.732492386
278	2.732002494
279	2.731597464
280	2.73114211
281	2.730685551
282	2.730177218
283	2.729775764
284	2.729279223
285	2.728787155
286	2.728398953
287	2.727898704
288	2.727432609
289	2.726981301
290	2.7265186
291	2.726036478
292	2.725513408
293	2.724991419
294	2.724537353
295	2.724093444
296	2.723612166
297	2.723222358
298	2.722830379
299	2.722355064
1298
