iter	Passed	Remaining
0	62	18585
1	66	9936
2	71	7073
3	75	5618
4	80	4729
5	84	4126
6	88	3721
7	93	3399
8	97	3151
9	101	2943
10	106	2790
11	110	2661
12	115	2543
13	124	2535
14	128	2437
15	132	2355
16	136	2277
17	141	2216
18	146	2159
19	150	2108
20	155	2070
21	160	2028
22	165	1987
23	169	1945
24	173	1913
25	178	1876
26	182	1847
27	187	1820
28	191	1792
29	196	1764
30	200	1738
31	205	1721
32	210	1702
33	214	1678
34	218	1657
35	223	1637
36	227	1617
37	231	1598
38	236	1581
39	240	1564
40	244	1547
41	249	1530
42	254	1518
43	258	1503
44	262	1488
45	266	1473
46	271	1460
47	275	1446
48	279	1433
49	282	1411
50	287	1402
51	291	1389
52	295	1378
53	299	1365
54	304	1356
55	308	1343
56	312	1333
57	316	1321
58	321	1311
59	325	1300
60	329	1289
61	333	1280
62	338	1273
63	340	1256
64	345	1247
65	349	1238
66	353	1230
67	357	1221
68	362	1214
69	366	1205
70	372	1200
71	376	1193
72	381	1185
73	386	1179
74	390	1171
75	394	1163
76	398	1154
77	403	1149
78	406	1137
79	410	1130
80	415	1122
81	419	1116
82	423	1108
83	428	1100
84	432	1092
85	436	1086
86	440	1078
87	444	1071
88	449	1065
89	453	1058
90	458	1052
91	462	1045
92	466	1039
93	471	1033
94	475	1026
95	480	1020
96	485	1015
97	489	1008
98	493	1001
99	497	995
100	502	990
101	507	984
102	511	978
103	516	973
104	521	967
105	523	958
106	527	952
107	532	945
108	536	940
109	540	934
110	545	928
111	550	923
112	555	918
113	559	913
114	563	906
115	568	901
116	572	895
117	576	889
118	580	883
119	585	877
120	589	871
121	593	865
122	597	859
123	601	854
124	606	848
125	610	842
126	614	836
127	618	831
128	623	825
129	627	820
130	631	814
131	636	809
132	640	803
133	644	798
134	649	793
135	653	787
136	657	782
137	661	776
138	666	771
139	670	766
140	674	761
141	680	756
142	685	752
143	690	748
144	694	742
145	699	738
146	703	732
147	708	727
148	712	722
149	717	717
150	722	712
151	726	707
152	730	702
153	735	696
154	739	691
155	743	686
156	748	681
157	752	676
158	756	670
159	760	665
160	765	660
161	769	655
162	774	650
163	778	645
164	782	640
165	786	635
166	790	629
167	794	624
168	799	619
169	803	614
170	807	609
171	812	604
172	816	599
173	821	594
174	825	589
175	829	584
176	834	579
177	838	574
178	842	569
179	848	565
180	852	560
181	857	555
182	861	550
183	865	545
184	870	541
185	874	536
186	879	531
187	883	526
188	889	522
189	893	517
190	898	513
191	903	508
192	908	503
193	912	498
194	917	493
195	920	488
196	925	483
197	929	479
198	934	474
199	938	469
200	942	464
201	947	459
202	951	454
203	955	449
204	959	444
205	964	439
206	968	434
207	972	430
208	976	425
209	980	420
210	985	415
211	989	410
212	993	405
213	998	401
214	1002	396
215	1006	391
216	1010	386
217	1015	381
218	1019	377
219	1023	372
220	1028	367
221	1033	363
222	1037	358
223	1041	353
224	1046	348
225	1050	343
226	1054	339
227	1060	334
228	1066	330
229	1071	325
230	1075	321
231	1079	316
232	1083	311
233	1087	306
234	1091	302
235	1096	297
236	1100	292
237	1104	287
238	1108	282
239	1113	278
240	1117	273
241	1121	268
242	1125	264
243	1130	259
244	1135	254
245	1139	250
246	1144	245
247	1148	240
248	1152	236
249	1157	231
250	1161	226
251	1165	222
252	1170	217
253	1174	212
254	1178	208
255	1182	203
256	1187	198
257	1191	193
258	1196	189
259	1204	185
260	1209	180
261	1227	178
262	1233	173
263	1237	168
264	1242	164
265	1247	159
266	1252	154
267	1256	150
268	1261	145
269	1265	140
270	1269	135
271	1273	131
272	1278	126
273	1282	121
274	1286	116
275	1291	112
276	1296	107
277	1300	102
278	1304	98
279	1309	93
280	1314	88
281	1318	84
282	1322	79
283	1327	74
284	1332	70
285	1336	65
286	1341	60
287	1346	56
288	1350	51
289	1354	46
290	1358	42
291	1362	37
292	1367	32
293	1371	27
294	1376	23
295	1381	18
296	1386	14
297	1390	9
298	1395	4
299	1399	0
